14,13,11,18,14,9,6,10,6,6,10,7,8,4,4
14,15,13,14,9,10,12,12,4,4,9,7,3,4,5
13,18,17,20,13,6,11,13,13,8,6,4,6,7,4
15,12,12,13,15,8,10,10,10,8,2,5,3,5,5
15,15,14,16,14,12,14,8,5,9,5,6,8,5,9
18,18,20,15,13,12,14,8,8,7,6,8,7,5,6
19,12,14,16,11,13,16,13,7,8,8,12,7,6,4
20,17,13,14,12,12,13,7,7,6,11,9,6,7,9
17,14,16,15,12,13,13,13,8,7,14,9,12,6,9
21,18,17,14,10,8,16,11,12,14,8,12,8,7,4
15,15,18,11,14,13,15,13,12,11,11,13,8,6,9
12,15,12,10,12,13,15,15,12,11,9,4,9,6,7
13,20,17,19,13,14,12,13,12,12,7,11,8,7,7
20,17,17,13,12,13,8,11,8,13,10,11,10,9,14
17,17,15,16,18,12,13,14,13,9,13,10,6,10,8
