      gamma Profit Gain EqOnPath     IR    IC Punishment Length
 [1,]  0.01       0.856    0.224 -0.003 0.666             6.445
 [2,]  0.05       0.843    0.215 -0.013 0.874             6.305
 [3,]  0.10       0.843    0.235 -0.027 0.865             6.357
 [4,]  0.15       0.839    0.219 -0.042 0.867             6.367
 [5,]  0.20       0.837    0.249 -0.058 0.884             6.391
 [6,]  0.25       0.823    0.265 -0.074 0.877             6.270
 [7,]  0.30       0.816    0.274 -0.090 0.873             6.210
 [8,]  0.35       0.807    0.270 -0.109 0.871             6.208
 [9,]  0.40       0.808    0.282 -0.131 0.886             6.274
[10,]  0.45       0.791    0.316 -0.154 0.884             6.284
[11,]  0.50       0.770    0.318 -0.173 0.885             6.305
[12,]  0.55       0.742    0.315 -0.188 0.865             5.988
[13,]  0.60       0.725    0.343 -0.210 0.866             5.985
[14,]  0.65       0.686    0.356 -0.232 0.859             5.892
[15,]  0.70       0.651    0.406 -0.255 0.848             5.650
[16,]  0.75       0.634    0.429 -0.289 0.849             5.723
[17,]  0.80       0.649    0.417 -0.329 0.809             5.724
[18,]  0.85       0.677    0.396 -0.341 0.767             5.584
[19,]  0.90       0.753    0.385 -0.345 0.715             5.256
[20,]  0.95       0.854    0.412 -0.410 0.804             5.603
[21,]  0.99       0.871    0.389 -0.380 0.783             5.687
