21,25,23,19,16,16,18,18,18,18,23,19,16,14,20
21,20,17,17,16,13,17,18,17,19,16,19,19,18,18
23,23,16,18,21,17,12,14,19,17,20,16,20,21,12
20,21,16,19,20,17,17,21,10,18,16,22,20,16,17
19,20,22,17,16,22,19,20,20,18,20,19,13,16,21
21,18,23,18,18,16,18,20,19,18,15,18,18,18,18
21,22,18,20,20,15,17,16,18,18,14,19,19,18,17
19,22,24,22,19,15,18,15,17,16,19,19,16,16,15
22,22,19,19,16,17,17,15,18,17,18,14,17,15,18
23,21,22,20,19,16,15,21,11,15,20,19,15,15,20
22,17,19,21,21,22,15,18,21,21,16,19,15,14,16
21,22,23,23,20,15,17,16,18,18,20,17,12,16,16
23,21,21,18,18,18,16,17,18,18,17,11,16,13,17
24,16,19,17,17,20,20,14,18,16,17,17,19,18,16
24,24,19,21,19,21,19,23,19,14,14,17,17,14,19
