betas
5e-06
5.7142857142857145e-06
6.428571428571429e-06
7.142857142857143e-06
7.857142857142858e-06
8.571428571428571e-06
9.285714285714286e-06
9.999999999999999e-06
1.0714285714285714e-05
1.1428571428571429e-05
1.2142857142857142e-05
1.2857142857142856e-05
1.3571428571428572e-05
1.4285714285714285e-05
1.5e-05
